layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
l蘹慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A蘸慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_RAMP,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
M蘩慠覛,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$typical floor$0$mtext,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-ARROW,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_KERB LINE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
h蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A蘺慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-F.EXIT STAIR STEPS,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
6聂悆驡铣聇縜,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-ROOM TAG,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-ROOM-TAG,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-FLOR-EQPM,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
ACET-LAYISOF,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_E_EXP_HID,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_GLASSPANEL,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A_A_BLCKWALL Cut,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A_T_TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A_H_LAY,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
TBLOCK DM$0$X-title block_E_EXP,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
TBLOCK DM$0$X-title block_T_TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
戀氀漀挀欀开吀,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
TBLOCK DM$0$X-title block_LOGO,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_A_BLCKWALL Cut,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
F蘸慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
瀂砃瀃栁耂怃砃,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
